ID,lon,lat
0,120.61887841,30.5938455
1,120.665151448,30.5903839529
2,120.670292401,30.5899983425
3,120.675433255,30.5896125334
4,120.68057401,30.5892265255
5,120.685714665,30.5888403189
6,120.614179848,30.5986774137
7,120.61932202,30.598293724
8,120.624464092,30.5979098354
9,120.629606066,30.5975257478
10,120.63474794,30.5971414614
11,120.639889716,30.5967569761
12,120.645031393,30.5963722918
13,120.650172971,30.5959874088
14,120.65531445,30.5956023269
15,120.660455829,30.5952170462
16,120.66559711,30.5948315666
17,120.670738291,30.5944458883
18,120.675879373,30.5940600111
19,120.681020355,30.5936739352
20,120.686161239,30.5932876605
21,120.691302023,30.5929011871
22,120.696442707,30.592514515
23,120.701583292,30.5921276441
24,120.706723777,30.5917405745
25,120.711864162,30.5913533063
26,120.717004448,30.5909658394
27,120.614623328,30.6031256965
28,120.619765728,30.6027419392
29,120.624908028,30.6023579829
30,120.63005023,30.6019738276
31,120.635192333,30.6015894734
32,120.640334337,30.6012049203
33,120.645476242,30.6008201683
34,120.650618048,30.6004352174
35,120.655759755,30.6000500676
36,120.660901362,30.5996647189
37,120.666042871,30.5992791714
38,120.67118428,30.5988934251
39,120.67632559,30.5985074799
40,120.681466801,30.598121336
41,120.686607912,30.5977349932
42,120.691748924,30.5973484517
43,120.696889836,30.5969617114
44,120.702030649,30.5965747723
45,120.707171362,30.5961876345
46,120.712311975,30.595800298
47,120.717452489,30.5954127628
48,120.722592903,30.5950250288
49,120.60992418,30.6079575965
50,120.615066907,30.6075739705
51,120.620209534,30.6071901455
52,120.625352063,30.6068061215
53,120.630494493,30.6064218985
54,120.635636824,30.6060374765
55,120.640779057,30.6056528556
56,120.64592119,30.6052680358
57,120.651063224,30.604883017
58,120.656205159,30.6044977994
59,120.661346995,30.6041123828
60,120.666488731,30.6037267673
61,120.671630368,30.603340953
62,120.676771906,30.6029549398
63,120.681913345,30.6025687278
64,120.687054684,30.6021823169
65,120.692195924,30.6017957073
66,120.697337064,30.6014088988
67,120.702478105,30.6010218915
68,120.707619046,30.6006346855
69,120.712759888,30.6002472807
70,120.717900629,30.5998596772
71,120.723041271,30.5994718749
72,120.728181813,30.5990838739
73,120.610367629,30.6124059292
74,120.615510584,30.6120222355
75,120.62065344,30.6116383429
76,120.625796197,30.6112542512
77,120.630938856,30.6108699605
78,120.636081415,30.6104854708
79,120.641223875,30.6101007821
80,120.646366237,30.6097158944
81,120.651508499,30.6093308078
82,120.656650662,30.6089455222
83,120.661792726,30.6085600377
84,120.666934691,30.6081743543
85,120.672076556,30.607788472
86,120.677218322,30.6074023908
87,120.682359989,30.6070161107
88,120.687501556,30.6066296317
89,120.692643024,30.6062429539
90,120.697784392,30.6058560773
91,120.702925661,30.6054690018
92,120.70806683,30.6050817276
93,120.7132079,30.6046942545
94,120.718348869,30.6043065826
95,120.723489739,30.603918712
96,120.728630509,30.6035306427
97,120.610811177,30.616854253
98,120.61595436,30.6164704918
99,120.621097444,30.6160865314
100,120.62624043,30.6157023721
101,120.631383317,30.6153180136
102,120.636526104,30.6149334562
103,120.641668793,30.6145486997
104,120.646811383,30.6141637442
105,120.651953873,30.6137785897
106,120.657096265,30.6133932362
107,120.662238557,30.6130076838
108,120.66738075,30.6126219324
109,120.672522843,30.6122359821
110,120.677664838,30.6118498328
111,120.682806732,30.6114634846
112,120.687948528,30.6110769376
113,120.693090224,30.6106901916
114,120.69823182,30.6103032468
115,120.703373317,30.6099161031
116,120.708514714,30.6095287606
117,120.713656011,30.6091412193
118,120.718797209,30.6087534791
119,120.723938307,30.6083655402
120,120.729079305,30.6079774024
121,120.734220203,30.6075890659
122,120.611254823,30.621302568
123,120.616398235,30.6209187391
124,120.621541548,30.6205347111
125,120.626684762,30.620150484
126,120.631827877,30.6197660579
127,120.636970893,30.6193814327
128,120.64211381,30.6189966084
129,120.647256628,30.618611585
130,120.652399347,30.6182263627
131,120.657541966,30.6178409413
132,120.662684487,30.6174553209
133,120.667826908,30.6170695015
134,120.67296923,30.6166834832
135,120.678111452,30.6162972659
136,120.683253575,30.6159108497
137,120.688395599,30.6155242345
138,120.693537523,30.6151374204
139,120.698679347,30.6147504074
140,120.703821072,30.6143631955
141,120.708962697,30.6139757847
142,120.714104223,30.6135881751
143,120.719245649,30.6132003666
144,120.724386975,30.6128123593
145,120.729528201,30.6124241532
146,120.734669327,30.6120357482
147,120.739810353,30.6116471445
148,120.611698569,30.6257508741
149,120.616842209,30.6253669776
150,120.62198575,30.6249828819
151,120.627129192,30.6245985872
152,120.632272536,30.6242140933
153,120.63741578,30.6238294002
154,120.642558926,30.6234445081
155,120.647701972,30.623059417
156,120.652844919,30.6226741267
157,120.657987767,30.6222886374
158,120.663130516,30.6219029491
